19.3931,251,39.16,7067,1108.66,12.07,6.94,0.44
63,144,31.34,15102,1324.42,14.04,6.83,0.52
58.7568,192,39.26,6386,1121.53,15.82,6.22,0.57
61.0513,135,29.8,4108,13207,15.2,6.86,0.66
61.625,245,31.22,20500,1951.32,43.77,6.55,0.47
60.6386,95,30.26,20556,2176.73,17.51,6.71,0.49
57.3468,166,32.44,7560,7617.8,18.5,6.88,0.46
60.1309,30,26.28,7262,9501.7,13.34,6.92,0.52
63,112,29.73,6569,2009.7,15.86,6.73,0.51
59.0475,112,23.46,1059,2502.2,21.49,6.92,0.47
63,6,26.68,2024,2011.62,12.6,6.24,0.5
62.6364,229,28.87,7222,1745.7,14.42,7.03,0.51
58.8209,100,28.65,3592,1587.6,13.05,7.14,0.44
51.3177,135,34.32,2913,1502,18.82,6.87,0.43
57.1053,161,45.48,11043,2360,22.03,7.26,0.42
56.0444,117,34.32,10232,5084.84,19.43,7.14,0.58
48.1778,90,28.26,7032,1100.77,23.31,6.42,0.64
40.5776,336,32.5,9679,7630.59,12.8,6.58,0.62
52.435,245,31.69,14615,2375.28,17.75,6.6,0.41
43.4389,211,33.34,11288,3846.87,14.54,6.89,0.43
