8.5535,508,17.51,39,35.93,0.56,216.9,8.2
9.8642,587,16.42,36,35.97,0.54,251.8,8.1
4.6239,268,19.64,67,35.74,0.57,106.4,8.9
6.7585,327,18.19,47,35.82,0.59,153.6,8.2
4.7005,253,23.06,81,43.16,0.61,139.3,8.4
2.6353,127,29.81,107,40.91,0.57,61.2,9.2
2.0887,112,33.64,159,34.18,0.53,49.1,9.1
1.4715,82,36.41,192,30.61,0.46,41.5,9.2
2.7764,131,29.16,104,43.38,0.51,64.1,9
2.4085,133,30.31,112,28.17,0.62,58.2,9.1
5.7544,251,17.32,51,54.17,0.58,101.6,8.4
13.0164,741,14.29,34,33.02,0.42,261.2,7.8
1.7084,91,34.52,179,43.17,0.51,46.1,8.9
11.6515,652,14.27,33,52.49,0.54,257.6,8.4
10.0316,637,16.74,45,23.94,0.57,250.3,8.6
6.2903,319,26.62,49,60.71,0.51,147.4,8.8
3.2404,145,28.5,93,21.79,0.54,74.3,8.9
6.2677,303,27.01,57,19.01,0.44,144.2,8.8
2.0436,112,33.92,161,73.61,0.53,48.7,9.1
0.4039,23,89.41,297,1.09,0.31,6.5,9.3
